id,name,breed,age
1,Ollie,Norwegian Forest,8
2,Navi,Unknown,4
3,Saydge,Tabby,14
4,Mia,Calico,16
5,Bean,Unknown,1
6,Hazy,Calico,2
7,Fergus,Tabby,2
8,Norman,Unknown,2
9,Koki,Tabby,2
10,Ozzy,Tabby,3
11,Toaster,Unknown,7
12,Henry,Unknown,8
13,Milo,Siamese,2
14,Loki,Sphynx,4
15,Lili,Sphynx,4
16,Mittens,Unknown,5
17,Kitty,Unknown,12
18,Cleo,Unknown,8
19,Hans,Bengal,17
20,Killjoy,Tabby,4
21,Granger,Unknown,9
22,Buttons,Calico,11
23,Leo,Maine Coon,10
24,Tiger,Tabby,7
25,Bear,Unknown,3
26,Fluffy,Norwegian Forest,6
27,Babygirl,Calico,4
28,Patches,Unknown,5
29,Toby,Siamese,7
30,Dennis,Tabby,12
31,Hannibal,,9
32,Arty,Unknown,1
33,Mint,Calico,4
34,Stella,Tuxedo,20
35,Carson,Unknown,6
